home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Referee,Host,Year
Argentina,France,3,3,Lionel Scaloni,Didier Deschamps,88966,"Lusail Iconic Stadium, Lusail",Final,Szymon Marciniak,Qatar,2022
Croatia,Morocco,2,1,Zlatko Dalić,Hoalid Regragui,44137,"Khalifa International Stadium, Doha",Third-place match,Abdulrahman Ibrahim Al Jassim,Qatar,2022
France,Morocco,2,0,Didier Deschamps,Hoalid Regragui,68294,"Al Bayt Stadium, Al Khor",Semi-finals,César Arturo Ramos,Qatar,2022
Argentina,Croatia,3,0,Lionel Scaloni,Zlatko Dalić,88966,"Lusail Iconic Stadium, Lusail",Semi-finals,Daniele Orsato,Qatar,2022
Morocco,Portugal,1,0,Hoalid Regragui,Fernando Santos,44198,"Al Thumama Stadium, ath-Thumāma",Quarter-finals,Facundo Tello,Qatar,2022
England,France,1,2,Gareth Southgate,Didier Deschamps,68895,"Al Bayt Stadium, Al Khor",Quarter-finals,Wilton Sampaio,Qatar,2022
Croatia,Brazil,1,1,Zlatko Dalić,Tite,43893,"Education City Stadium, Doha",Quarter-finals,Michael Oliver,Qatar,2022
Netherlands,Argentina,2,2,Louis van Gaal,Lionel Scaloni,88235,"Lusail Iconic Stadium, Lusail",Quarter-finals,Antonio Matéu,Qatar,2022
Morocco,Spain,0,0,Hoalid Regragui,Luis Enrique,44667,"Education City Stadium, Doha",Round of 16,Fernando Rapallini,Qatar,2022
Portugal,Switzerland,6,1,Fernando Santos,Murat Yakin,83720,"Lusail Iconic Stadium, Lusail",Round of 16,César Arturo Ramos,Qatar,2022
Japan,Croatia,1,1,Hajime Moriyasu,Zlatko Dalić,42523,"Al Janoub Stadium, Al Wakrah",Round of 16,Ismail Elfath,Qatar,2022
Brazil,Korea Republic,4,1,Tite,Paulo Bento,43847,"Stadium 974, Doha",Round of 16,Clément Turpin,Qatar,2022
France,Poland,3,1,Didier Deschamps,Czesław Michniewicz,40989,"Al Thumama Stadium, ath-Thumāma",Round of 16,Jesús Valenzuela,Qatar,2022
England,Senegal,3,0,Gareth Southgate,Aliou Cissé,65985,"Al Bayt Stadium, Al Khor",Round of 16,Iván Barton,Qatar,2022
Netherlands,United States,3,1,Louis van Gaal,Gregg Berhalter,44846,"Khalifa International Stadium, Doha",Round of 16,Wilton Sampaio,Qatar,2022
Argentina,Australia,2,1,Lionel Scaloni,Graham Arnold,45032,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Round of 16,Szymon Marciniak,Qatar,2022
Korea Republic,Portugal,2,1,Sérgio Costa,Fernando Santos,44097,"Education City Stadium, Doha",Group stage,Facundo Tello,Qatar,2022
Ghana,Uruguay,0,2,Otto Addo,Diego Alonso,43443,"Al Janoub Stadium, Al Wakrah",Group stage,Daniel Siebert,Qatar,2022
Cameroon,Brazil,1,0,Rigobert Song,Tite,85986,"Lusail Iconic Stadium, Lusail",Group stage,Ismail Elfath,Qatar,2022
Serbia,Switzerland,2,3,Dragan Stojković,Murat Yakin,41378,"Stadium 974, Doha",Group stage,Fernando Rapallini,Qatar,2022
Canada,Morocco,1,2,John Herdman,Hoalid Regragui,43102,"Al Thumama Stadium, ath-Thumāma",Group stage,Raphael Claus,Qatar,2022
Croatia,Belgium,0,0,Zlatko Dalić,Roberto Martínez,43984,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,Anthony Taylor,Qatar,2022
Costa Rica,Germany,2,4,Luis Fernando Suárez,Hansi Flick,67054,"Al Bayt Stadium, Al Khor",Group stage,Stéphanie Frappart,Qatar,2022
Japan,Spain,2,1,Hajime Moriyasu,Luis Enrique,44851,"Khalifa International Stadium, Doha",Group stage,Victor Gomes,Qatar,2022
Australia,Denmark,1,0,Graham Arnold,Kasper Hjulmand,41232,"Al Janoub Stadium, Al Wakrah",Group stage,Mustapha Ghorbal,Qatar,2022
Tunisia,France,1,0,Jalel Kadri,Didier Deschamps,43627,"Education City Stadium, Doha",Group stage,Matt Conger,Qatar,2022
Saudi Arabia,Mexico,1,2,Hervé Renard,Tata Martino,84985,"Lusail Iconic Stadium, Lusail",Group stage,Michael Oliver,Qatar,2022
Poland,Argentina,0,2,Czesław Michniewicz,Lionel Scaloni,44089,"Stadium 974, Doha",Group stage,Danny Makkelie,Qatar,2022
Ecuador,Senegal,1,2,Gustavo Alfaro,Aliou Cissé,44569,"Khalifa International Stadium, Doha",Group stage,Clément Turpin,Qatar,2022
Netherlands,Qatar,2,0,Louis van Gaal,Félix Sánchez,66784,"Al Bayt Stadium, Al Khor",Group stage,Bakary Papa Gassama,Qatar,2022
IR Iran,United States,0,1,Carlos Queiroz,Gregg Berhalter,42127,"Al Thumama Stadium, ath-Thumāma",Group stage,Antonio Matéu,Qatar,2022
Wales,England,0,3,Rob Page,Gareth Southgate,44297,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,Slavko Vinčič,Qatar,2022
Cameroon,Serbia,3,3,Rigobert Song,Dragan Stojković,39789,"Al Janoub Stadium, Al Wakrah",Group stage,Mohammed Abdulla Hassan,Qatar,2022
Korea Republic,Ghana,2,3,Paulo Bento,Otto Addo,43983,"Education City Stadium, Doha",Group stage,Anthony Taylor,Qatar,2022
Brazil,Switzerland,1,0,Tite,Murat Yakin,43649,"Stadium 974, Doha",Group stage,Iván Barton,Qatar,2022
Portugal,Uruguay,2,0,Fernando Santos,Diego Alonso,88668,"Lusail Iconic Stadium, Lusail",Group stage,Alireza Faghani,Qatar,2022
Japan,Costa Rica,0,1,Hajime Moriyasu,Luis Fernando Suárez,41479,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,Michael Oliver,Qatar,2022
Belgium,Morocco,0,2,Roberto Martínez,Hoalid Regragui,43738,"Al Thumama Stadium, ath-Thumāma",Group stage,César Arturo Ramos,Qatar,2022
Croatia,Canada,4,1,Zlatko Dalić,John Herdman,44374,"Khalifa International Stadium, Doha",Group stage,Andrés Matonte,Qatar,2022
Spain,Germany,1,1,Luis Enrique,Hansi Flick,68895,"Al Bayt Stadium, Al Khor",Group stage,Danny Makkelie,Qatar,2022
Tunisia,Australia,0,1,Jalel Kadri,Graham Arnold,41823,"Al Janoub Stadium, Al Wakrah",Group stage,Daniel Siebert,Qatar,2022
Poland,Saudi Arabia,2,0,Czesław Michniewicz,Hervé Renard,44259,"Education City Stadium, Doha",Group stage,Wilton Sampaio,Qatar,2022
France,Denmark,2,1,Didier Deschamps,Kasper Hjulmand,42860,"Stadium 974, Doha",Group stage,Szymon Marciniak,Qatar,2022
Argentina,Mexico,2,0,Lionel Scaloni,Tata Martino,88966,"Lusail Iconic Stadium, Lusail",Group stage,Daniele Orsato,Qatar,2022
Wales,IR Iran,0,2,Rob Page,Carlos Queiroz,40875,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,Mario Escobar,Qatar,2022
Qatar,Senegal,1,3,Félix Sánchez,Aliou Cissé,41797,"Al Thumama Stadium, ath-Thumāma",Group stage,Antonio Matéu,Qatar,2022
Netherlands,Ecuador,1,1,Louis van Gaal,Gustavo Alfaro,44833,"Khalifa International Stadium, Doha",Group stage,Mustapha Ghorbal,Qatar,2022
England,United States,0,0,Gareth Southgate,Gregg Berhalter,68463,"Al Bayt Stadium, Al Khor",Group stage,Jesús Valenzuela,Qatar,2022
Switzerland,Cameroon,1,0,Murat Yakin,Rigobert Song,39089,"Al Janoub Stadium, Al Wakrah",Group stage,Facundo Tello,Qatar,2022
Uruguay,Korea Republic,0,0,Diego Alonso,Paulo Bento,41663,"Education City Stadium, Doha",Group stage,Clément Turpin,Qatar,2022
Portugal,Ghana,3,2,Fernando Santos,Otto Addo,42662,"Stadium 974, Doha",Group stage,Ismail Elfath,Qatar,2022
Brazil,Serbia,2,0,Tite,Dragan Stojković,88103,"Lusail Iconic Stadium, Lusail",Group stage,Alireza Faghani,Qatar,2022
Morocco,Croatia,0,0,Hoalid Regragui,Zlatko Dalić,59407,"Al Bayt Stadium, Al Khor",Group stage,Fernando Rapallini,Qatar,2022
Germany,Japan,1,2,Hansi Flick,Hajime Moriyasu,42608,"Khalifa International Stadium, Doha",Group stage,Iván Barton,Qatar,2022
Spain,Costa Rica,7,0,Luis Enrique,Luis Fernando Suárez,40013,"Al Thumama Stadium, ath-Thumāma",Group stage,Mohammed Abdulla Hassan,Qatar,2022
Belgium,Canada,1,0,Roberto Martínez,John Herdman,40432,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,Janny Sikazwe,Qatar,2022
Argentina,Saudi Arabia,1,2,Lionel Scaloni,Hervé Renard,88012,"Lusail Iconic Stadium, Lusail",Group stage,Slavko Vinčič,Qatar,2022
Denmark,Tunisia,0,0,Kasper Hjulmand,Jalel Kadri,42925,"Education City Stadium, Doha",Group stage,César Arturo Ramos,Qatar,2022
Mexico,Poland,0,0,Tata Martino,Czesław Michniewicz,39369,"Stadium 974, Doha",Group stage,Chris Beath,Qatar,2022
France,Australia,4,1,Didier Deschamps,Graham Arnold,40875,"Al Janoub Stadium, Al Wakrah",Group stage,Victor Gomes,Qatar,2022
England,IR Iran,6,2,Gareth Southgate,Carlos Queiroz,45334,"Khalifa International Stadium, Doha",Group stage,Raphael Claus,Qatar,2022
Senegal,Netherlands,0,2,Aliou Cissé,Louis van Gaal,41721,"Al Thumama Stadium, ath-Thumāma",Group stage,Wilton Sampaio,Qatar,2022
United States,Wales,1,1,Gregg Berhalter,Rob Page,43418,"Ahmed bin Ali Stadium, Umm al-Afā'ī",Group stage,Abdulrahman Ibrahim Al Jassim,Qatar,2022
Qatar,Ecuador,0,2,Félix Sánchez,Gustavo Alfaro,67372,"Al Bayt Stadium, Al Khor",Group stage,Daniele Orsato,Qatar,2022
France,Croatia,4,2,Didier Deschamps,Zlatko Dalić,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Final,Néstor Pitana,Russia,2018
Belgium,England,2,0,Roberto Martínez,Gareth Southgate,64406,"Gazprom Arena, Sankt-Petersburg",Third-place match,Alireza Faghani,Russia,2018
Croatia,England,2,1,Zlatko Dalić,Gareth Southgate,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Semi-finals,Cüneyt Çakιr,Russia,2018
France,Belgium,1,0,Didier Deschamps,Roberto Martínez,64286,"Gazprom Arena, Sankt-Petersburg",Semi-finals,Andrés Cunha,Russia,2018
Sweden,England,0,2,Janne Andersson,Gareth Southgate,39991,"Cosmos Arena, Samara",Quarter-finals,Björn Kuipers,Russia,2018
Russia,Croatia,2,2,Stanislav Cherchesov,Zlatko Dalić,44287,"Olimpiyskiy Stadion Fisht, Sochi",Quarter-finals,Sandro Ricci,Russia,2018
Uruguay,France,0,2,Óscar Tabárez,Didier Deschamps,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Quarter-finals,Néstor Pitana,Russia,2018
Brazil,Belgium,1,2,Tite,Roberto Martínez,42873,"Kazan Arena, Kazan",Quarter-finals,Milorad Mažić,Russia,2018
Sweden,Switzerland,1,0,Janne Andersson,Vladimir Petković,64042,"Gazprom Arena, Sankt-Petersburg",Round of 16,Damir Skomina,Russia,2018
Colombia,England,1,1,José Pekerman,Gareth Southgate,44190,"Otkrytie Arena, Moskva",Round of 16,Mark Geiger,Russia,2018
Brazil,Mexico,2,0,Tite,Juan Carlos Osorio,41970,"Cosmos Arena, Samara",Round of 16,Gianluca Rocchi,Russia,2018
Belgium,Japan,3,2,Roberto Martínez,Akira Nishino,41466,"Rostov Arena, Rostov-na-Donu",Round of 16,Malang Diédhiou,Russia,2018
Spain,Russia,1,1,Fernando Hierro,Stanislav Cherchesov,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Round of 16,Björn Kuipers,Russia,2018
Croatia,Denmark,1,1,Zlatko Dalić,Åge Hareide,40851,"Stadion Nizhny Novgorod, Nizhny Novgorod",Round of 16,Néstor Pitana,Russia,2018
France,Argentina,4,3,Didier Deschamps,Jorge Sampaoli,42873,"Kazan Arena, Kazan",Round of 16,Alireza Faghani,Russia,2018
Uruguay,Portugal,2,1,Óscar Tabárez,Fernando Santos,44287,"Olimpiyskiy Stadion Fisht, Sochi",Round of 16,César Arturo Ramos,Russia,2018
Japan,Poland,0,1,Akira Nishino,Adam Nawałka,42189,"Volgograd Arena, Volgograd",Group stage,Janny Sikazwe,Russia,2018
Senegal,Colombia,0,1,Aliou Cissé,José Pekerman,41970,"Cosmos Arena, Samara",Group stage,Milorad Mažić,Russia,2018
England,Belgium,0,1,Gareth Southgate,Roberto Martínez,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,Damir Skomina,Russia,2018
Panama,Tunisia,1,2,Hernán Darío Gómez,Nabil Maâloul,37168,"Mordovia Arena, Saransk",Group stage,Nawaf Shukralla,Russia,2018
Korea Republic,Germany,2,0,Shin Taeyong,Joachim Löw,41835,"Kazan Arena, Kazan",Group stage,Mark Geiger,Russia,2018
Mexico,Sweden,0,3,Juan Carlos Osorio,Janne Andersson,33061,"Stadion Central'nyj, Yekaterinburg",Group stage,Néstor Pitana,Russia,2018
Switzerland,Costa Rica,2,2,Vladimir Petković,Oscar Ramírez,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,Clément Turpin,Russia,2018
Serbia,Brazil,0,2,Mladen Krstajić,Tite,44190,"Otkrytie Arena, Moskva",Group stage,Alireza Faghani,Russia,2018
Australia,Peru,0,2,Bert van Marwijk,Ricardo Gareca,44073,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,Sergey Karasev,Russia,2018
Denmark,France,0,0,Åge Hareide,Didier Deschamps,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,Sandro Ricci,Russia,2018
Iceland,Croatia,1,2,Heimir Hallgrímsson,Zlatko Dalić,43472,"Rostov Arena, Rostov-na-Donu",Group stage,Antonio Matéu Lahoz,Russia,2018
Nigeria,Argentina,1,2,Gernot Rohr,Jorge Sampaoli,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,Cüneyt Çakιr,Russia,2018
Saudi Arabia,Egypt,2,1,Juan Antonio Pizzi,Héctor Cúper,36823,"Volgograd Arena, Volgograd",Group stage,Wilmar Roldán,Russia,2018
Uruguay,Russia,3,0,Óscar Tabárez,Stanislav Cherchesov,41970,"Cosmos Arena, Samara",Group stage,Malang Diédhiou,Russia,2018
Spain,Morocco,2,2,Fernando Hierro,Hervé Renard,33973,"Kaliningrad Stadium, Kaliningrad",Group stage,Ravshan Irmatov,Russia,2018
IR Iran,Portugal,1,1,Carlos Queiroz,Fernando Santos,41685,"Mordovia Arena, Saransk",Group stage,Enrique Cáceres,Russia,2018
England,Panama,6,1,Gareth Southgate,Hernán Darío Gómez,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,Gehad Grisha,Russia,2018
Japan,Senegal,2,2,Akira Nishino,Aliou Cissé,32572,"Stadion Central'nyj, Yekaterinburg",Group stage,Gianluca Rocchi,Russia,2018
Poland,Colombia,0,3,Adam Nawałka,José Pekerman,42873,"Kazan Arena, Kazan",Group stage,César Arturo Ramos,Russia,2018
Belgium,Tunisia,5,2,Roberto Martínez,Nabil Maâloul,44190,"Otkrytie Arena, Moskva",Group stage,Jair Marrufo,Russia,2018
Korea Republic,Mexico,1,2,Shin Taeyong,Juan Carlos Osorio,43472,"Rostov Arena, Rostov-na-Donu",Group stage,Milorad Mažić,Russia,2018
Germany,Sweden,2,1,Joachim Löw,Janne Andersson,44287,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,Szymon Marciniak,Russia,2018
Brazil,Costa Rica,2,0,Tite,Oscar Ramírez,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,Björn Kuipers,Russia,2018
Nigeria,Iceland,2,0,Gernot Rohr,Heimir Hallgrímsson,40904,"Volgograd Arena, Volgograd",Group stage,Matt Conger,Russia,2018
Serbia,Switzerland,1,2,Mladen Krstajić,Vladimir Petković,33167,"Kaliningrad Stadium, Kaliningrad",Group stage,Felix Brych,Russia,2018
Denmark,Australia,1,1,Åge Hareide,Bert van Marwijk,40727,"Cosmos Arena, Samara",Group stage,Antonio Matéu Lahoz,Russia,2018
France,Peru,1,0,Didier Deschamps,Ricardo Gareca,32789,"Stadion Central'nyj, Yekaterinburg",Group stage,Mohammed Abdulla Hassan,Russia,2018
Argentina,Croatia,0,3,Jorge Sampaoli,Zlatko Dalić,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,Ravshan Irmatov,Russia,2018
Portugal,Morocco,1,0,Fernando Santos,Hervé Renard,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,Mark Geiger,Russia,2018
Uruguay,Saudi Arabia,1,0,Óscar Tabárez,Juan Antonio Pizzi,42678,"Rostov Arena, Rostov-na-Donu",Group stage,Clément Turpin,Russia,2018
IR Iran,Spain,0,1,Carlos Queiroz,Fernando Hierro,42718,"Kazan Arena, Kazan",Group stage,Andrés Cunha,Russia,2018
Colombia,Japan,1,2,José Pekerman,Akira Nishino,40842,"Mordovia Arena, Saransk",Group stage,Damir Skomina,Russia,2018
Poland,Senegal,1,2,Adam Nawałka,Aliou Cissé,44190,"Otkrytie Arena, Moskva",Group stage,Nawaf Shukralla,Russia,2018
Russia,Egypt,3,1,Stanislav Cherchesov,Héctor Cúper,64468,"Gazprom Arena, Sankt-Petersburg",Group stage,Enrique Cáceres,Russia,2018
Sweden,Korea Republic,1,0,Janne Andersson,Shin Taeyong,42300,"Stadion Nizhny Novgorod, Nizhny Novgorod",Group stage,Joel Aguilar,Russia,2018
Belgium,Panama,3,0,Roberto Martínez,Hernán Darío Gómez,43257,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,Janny Sikazwe,Russia,2018
Tunisia,England,1,2,Nabil Maâloul,Gareth Southgate,41064,"Volgograd Arena, Volgograd",Group stage,Wilmar Roldán,Russia,2018
Costa Rica,Serbia,0,1,Oscar Ramírez,Mladen Krstajić,41432,"Cosmos Arena, Samara",Group stage,Malang Diédhiou,Russia,2018
Germany,Mexico,0,1,Joachim Löw,Juan Carlos Osorio,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,Alireza Faghani,Russia,2018
Brazil,Switzerland,1,1,Tite,Vladimir Petković,43109,"Rostov Arena, Rostov-na-Donu",Group stage,César Ramos,Russia,2018
France,Australia,2,1,Didier Deschamps,Bert van Marwijk,41279,"Kazan Arena, Kazan",Group stage,Andrés Cunha,Russia,2018
Argentina,Iceland,1,1,Jorge Sampaoli,Heimir Hallgrímsson,44190,"Otkrytie Arena, Moskva",Group stage,Szymon Marciniak,Russia,2018
Peru,Denmark,0,1,Ricardo Gareca,Åge Hareide,40502,"Mordovia Arena, Saransk",Group stage,Bakary Papa Gassama,Russia,2018
Croatia,Nigeria,2,0,Zlatko Dalić,Gernot Rohr,31136,"Kaliningrad Stadium, Kaliningrad",Group stage,Sandro Ricci,Russia,2018
Egypt,Uruguay,0,1,Héctor Cúper,Óscar Tabárez,27015,"Stadion Central'nyj, Yekaterinburg",Group stage,Björn Kuipers,Russia,2018
Morocco,IR Iran,0,1,Hervé Renard,Carlos Queiroz,62548,"Gazprom Arena, Sankt-Petersburg",Group stage,Cüneyt Çakιr,Russia,2018
Portugal,Spain,3,3,Fernando Santos,Fernando Hierro,43866,"Olimpiyskiy Stadion Fisht, Sochi",Group stage,Gianluca Rocchi,Russia,2018
Russia,Saudi Arabia,5,0,Stanislav Cherchesov,Juan Antonio Pizzi,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Group stage,Néstor Pitana,Russia,2018
Germany,Argentina,1,0,Joachim Löw,Alejandro Sabella,74738,"Estadio Jornalista Mário Filho, Rio de Janeiro",Final,Nicola Rizzoli,Brazil,2014
Brazil,Netherlands,0,3,Luiz Felipe Scolari,Louis van Gaal,68034,"Estádio Nacional de Brasília, Brasília",Third-place match,Djamel Haïmoudi,Brazil,2014
Netherlands,Argentina,0,0,Louis van Gaal,Alejandro Sabella,63267,"Arena Corinthians, São Paulo",Semi-finals,Cüneyt Çakιr,Brazil,2014
Brazil,Germany,1,7,Luiz Felipe Scolari,Joachim Löw,58141,"Estádio Governador Magalhães Pinto, Belo Horizonte",Semi-finals,Marco Antonio Rodríguez,Brazil,2014
Argentina,Belgium,1,0,Alejandro Sabella,Marc Wilmots,68551,"Estádio Nacional de Brasília, Brasília",Quarter-finals,Nicola Rizzoli,Brazil,2014
Netherlands,Costa Rica,0,0,Louis van Gaal,Jorge Luis Pinto,51179,"Itaipava Arena Fonte Nova, Salvador",Quarter-finals,Ravshan Irmatov,Brazil,2014
France,Germany,0,1,Didier Deschamps,Joachim Löw,74240,"Estadio Jornalista Mário Filho, Rio de Janeiro",Quarter-finals,Néstor Pitana,Brazil,2014
Brazil,Colombia,2,1,Luiz Felipe Scolari,José Pekerman,60342,"Estádio Castelão, Fortaleza",Quarter-finals,Carlos Velasco,Brazil,2014
Argentina,Switzerland,1,0,Alejandro Sabella,Ottmar Hitzfeld,63255,"Arena Corinthians, São Paulo",Round of 16,Jonas Eriksson,Brazil,2014
Belgium,United States,2,1,Marc Wilmots,Jürgen Klinsmann,51227,"Itaipava Arena Fonte Nova, Salvador",Round of 16,Djamel Haïmoudi,Brazil,2014
France,Nigeria,2,0,Didier Deschamps,Stephen Keshi,67882,"Estádio Nacional de Brasília, Brasília",Round of 16,Mark Geiger,Brazil,2014
Germany,Algeria,2,1,Joachim Löw,Vahid Halilhodžić,43063,"Estádio José Pinheiro Borba, Porto Alegre",Round of 16,Sandro Ricci,Brazil,2014
Netherlands,Mexico,2,1,Louis van Gaal,Miguel Herrera,58817,"Estádio Castelão, Fortaleza",Round of 16,Pedro Proença,Brazil,2014
Costa Rica,Greece,1,1,Jorge Luis Pinto,Fernando Santos,41242,"Itaipava Arena Pernambuco, Recife",Round of 16,Benjamin Williams,Brazil,2014
Brazil,Chile,1,1,Luiz Felipe Scolari,Jorge Sampaoli,57714,"Estádio Governador Magalhães Pinto, Belo Horizonte",Round of 16,Howard Webb,Brazil,2014
Colombia,Uruguay,2,0,José Pekerman,Óscar Tabárez,73804,"Estadio Jornalista Mário Filho, Rio de Janeiro",Round of 16,Björn Kuipers,Brazil,2014
United States,Germany,0,1,Jürgen Klinsmann,Joachim Löw,41876,"Itaipava Arena Pernambuco, Recife",Group stage,Ravshan Irmatov,Brazil,2014
Portugal,Ghana,2,1,Paulo Bento,Kwesi Appiah,67540,"Estádio Nacional de Brasília, Brasília",Group stage,Nawaf Shukralla,Brazil,2014
Korea Republic,Belgium,0,1,Hong Myung-bo,Marc Wilmots,61397,"Arena Corinthians, São Paulo",Group stage,Benjamin Williams,Brazil,2014
Algeria,Russia,1,1,Vahid Halilhodžić,Fabio Capello,39311,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,Cüneyt Çakιr,Brazil,2014
Bosnia and Herzegovina,IR Iran,3,1,Safet Sušić,Carlos Queiroz,48011,"Itaipava Arena Fonte Nova, Salvador",Group stage,Carlos Velasco,Brazil,2014
Nigeria,Argentina,2,3,Stephen Keshi,Alejandro Sabella,43285,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,Nicola Rizzoli,Brazil,2014
Honduras,Switzerland,0,3,Luis Suárez,Ottmar Hitzfeld,40322,"Arena da Amazônia, Manaus",Group stage,Néstor Pitana,Brazil,2014
Ecuador,France,0,0,Reinaldo Rueda,Didier Deschamps,73749,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,Noumandiez Doué,Brazil,2014
Costa Rica,England,0,0,Jorge Luis Pinto,Roy Hodgson,57823,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,Djamel Haïmoudi,Brazil,2014
Italy,Uruguay,0,1,Cesare Prandelli,Óscar Tabárez,39706,"Arena das Dunas, Natal",Group stage,Marco Antonio Rodríguez,Brazil,2014
Japan,Colombia,1,4,Alberto Zaccheroni,José Pekerman,40340,"Arena Pantanal, Cuiabá",Group stage,Pedro Proença,Brazil,2014
Greece,Côte d'Ivoire,2,1,Fernando Santos,Sabri Lamouchi,59095,"Estádio Castelão, Fortaleza",Group stage,Carlos Vera,Brazil,2014
Australia,Spain,0,3,Ange Postecoglou,Del Bosque,39375,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,Nawaf Shukralla,Brazil,2014
Netherlands,Chile,2,0,Louis van Gaal,Jorge Sampaoli,62996,"Arena Corinthians, São Paulo",Group stage,Bakary Papa Gassama,Brazil,2014
Croatia,Mexico,1,3,Niko Kovač,Miguel Herrera,41212,"Itaipava Arena Pernambuco, Recife",Group stage,Ravshan Irmatov,Brazil,2014
Cameroon,Brazil,1,4,Volker Finke,Luiz Felipe Scolari,69112,"Estádio Nacional de Brasília, Brasília",Group stage,Jonas Eriksson,Brazil,2014
Belgium,Russia,1,0,Marc Wilmots,Fabio Capello,73819,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,Felix Brych,Brazil,2014
Korea Republic,Algeria,2,4,Hong Myung-bo,Vahid Halilhodžić,42732,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,Wilmar Roldán,Brazil,2014
United States,Portugal,2,2,Jürgen Klinsmann,Paulo Bento,40123,"Arena da Amazônia, Manaus",Group stage,Néstor Pitana,Brazil,2014
Argentina,IR Iran,1,0,Alejandro Sabella,Carlos Queiroz,57698,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,Milorad Mažić,Brazil,2014
Germany,Ghana,2,2,Joachim Löw,Kwesi Appiah,59621,"Estádio Castelão, Fortaleza",Group stage,Sandro Ricci,Brazil,2014
Nigeria,Bosnia and Herzegovina,1,0,Stephen Keshi,Safet Sušić,40499,"Arena Pantanal, Cuiabá",Group stage,Peter O'Leary,Brazil,2014
Italy,Costa Rica,0,1,Cesare Prandelli,Jorge Luis Pinto,40285,"Itaipava Arena Pernambuco, Recife",Group stage,Enrique Osses,Brazil,2014
Switzerland,France,2,5,Ottmar Hitzfeld,Didier Deschamps,51003,"Itaipava Arena Fonte Nova, Salvador",Group stage,Björn Kuipers,Brazil,2014
Honduras,Ecuador,1,2,Luis Suárez,Reinaldo Rueda,39224,"Estádio Joaquim Américo Guimarães, Curitiba",Group stage,Benjamin Williams,Brazil,2014
Colombia,Côte d'Ivoire,2,1,José Pekerman,Sabri Lamouchi,68748,"Estádio Nacional de Brasília, Brasília",Group stage,Howard Webb,Brazil,2014
Uruguay,England,2,1,Óscar Tabárez,Roy Hodgson,62575,"Arena Corinthians, São Paulo",Group stage,Carlos Velasco,Brazil,2014
Japan,Greece,0,0,Alberto Zaccheroni,Fernando Santos,39485,"Arena das Dunas, Natal",Group stage,Joel Aguilar,Brazil,2014
Australia,Netherlands,2,3,Ange Postecoglou,Louis van Gaal,42877,"Estádio José Pinheiro Borba, Porto Alegre",Group stage,Djamel Haïmoudi,Brazil,2014
Spain,Chile,0,2,Del Bosque,Jorge Sampaoli,74101,"Estadio Jornalista Mário Filho, Rio de Janeiro",Group stage,Mark Geiger,Brazil,2014
Cameroon,Croatia,0,4,Volker Finke,Niko Kovač,39982,"Arena da Amazônia, Manaus",Group stage,Pedro Proença,Brazil,2014
Belgium,Algeria,2,1,Marc Wilmots,Vahid Halilhodžić,56800,"Estádio Governador Magalhães Pinto, Belo Horizonte",Group stage,Marcos Rodriguez,Brazil,2014
Brazil,Mexico,0,0,Luiz Felipe Scolari,Miguel Herrera,60342,"Estádio Castelão, Fortaleza",Group stage,Cüneyt Çakιr,Brazil,2014
Russia,Korea Republic,1,1,Fabio Capello,Hong Myung-bo,37603,"Arena Pantanal, Cuiabá",Group stage,Néstor Pitana,Brazil,2014
Germany,Portugal,4,0,Joachim Löw,Paulo Bento,51081,"Itaipava Arena Fonte Nova, Salvador",Group stage,Milorad Mažić,Brazil,2014
